country_id,product_id,product_level,year,export_value,import_value,global_market_share,cog,distance,coi,eci,product_code,name_short_en,country,country_code,export_per_capita,rca,rank_per_capita,rank_rca,rank_market_share,rank_avg
148,100,2,1995,0.0,21265.0,0.0,0.00020643316,0.9839816,-0.7138898,-0.7451643,1,live_animals,chad,TCD,0.0,0.0,1.0,1.0,1.0,1.0
430,100,2,1995,0.0,7288.0,0.0,0.21496584,0.994123,-1.0104537,-0.40287837,1,live_animals,liberia,LBR,0.0,0.0,1.0,1.0,1.0,1.0
434,100,2,1995,50451.0,105216980.0,5.053783433943606e-06,0.23297207,0.98027724,-0.98374903,-0.2899576,1,live_animals,libya,LBY,0.0102817636512926,0.0549335935841927,52.0,54.0,68.0,58.0
148,100,2,1996,3942.0,11732.0,4.121366383253143e-07,0.00021868625,0.9804694,-0.63738066,-0.66912293,1,live_animals,chad,TCD,0.0005319760521708,0.0234523954528434,25.0,43.0,39.0,35.666666666666664
430,100,2,1996,0.0,4204.0,0.0,0.22038396,0.9935534,-1.0913309,-0.8671955,1,live_animals,liberia,LBR,0.0,0.0,1.0,1.0,1.0,1.0
434,100,2,1996,2652101.0,34260143.0,0.0002772775217248,0.23529589,0.9854769,-1.1322664,-0.8351221,1,live_animals,libya,LBY,0.5317609821403687,4.669859657300456,116.0,146.0,123.0,128.33333333333334
148,100,2,1997,1002227.0,9154.0,0.0001136661116985,0.00028814303,0.9819127,-0.7199516,-0.36280188,1,live_animals,chad,TCD,0.1306622135110632,5.914272776966986,95.0,150.0,107.0,117.33333333333331
430,100,2,1997,0.0,4817.0,0.0,0.30497232,0.9908998,-1.0955677,-0.59531885,1,live_animals,liberia,LBR,0.0,0.0,1.0,1.0,1.0,1.0
434,100,2,1997,238430.0,57368109.0,2.704119028152337e-05,0.3154914,0.98422575,-1.12466,-0.58575267,1,live_animals,libya,LBY,0.0470773928803217,0.4410447190549826,77.0,100.0,87.0,88.0
148,100,2,1998,10160.0,14072.0,1.1806303392283643e-06,0.0003618972,0.98810595,-0.8816992,-1.9929311,1,live_animals,chad,TCD,0.0012797839482846,0.061948692258145,30.0,52.0,46.0,42.66666666666666
430,100,2,1998,0.0,2975.0,0.0,0.26865646,0.98939186,-1.1145107,-0.7548716,1,live_animals,liberia,LBR,0.0,0.0,1.0,1.0,1.0,1.0
434,100,2,1998,18534.0,48023020.0,2.1537207389033965e-06,0.2707506,0.9848924,-1.1207993,-0.3952432,1,live_animals,libya,LBY,0.0036053427701731,0.0363672744993127,38.0,46.0,50.0,44.66666666666666
148,100,2,1999,1362.0,5207.0,1.64658676014769e-07,0.00032821266,0.98224086,-0.8180413,-0.51427966,1,live_animals,chad,TCD,0.0001656389229578,0.0118148953055838,24.0,39.0,33.0,32.0
430,100,2,1999,66724.0,20694.0,8.066582597951134e-06,0.28761777,0.9816515,-0.9892476,0.02625494,1,live_animals,liberia,LBR,0.023646871868005,0.2062457745881373,62.0,80.0,65.0,69.0
434,100,2,1999,0.0,23026593.0,0.0,0.23779966,0.9820618,-1.1221275,-0.2702051,1,live_animals,libya,LBY,0.0,0.0,1.0,1.0,1.0,1.0
148,100,2,2000,6939.0,20025.0,7.985110386183816e-07,0.0008581054,0.9784422,-0.8754007,-0.6874712,1,live_animals,chad,TCD,0.0008151931610709,0.0778853348111808,27.0,65.0,47.0,46.333333333333336
430,100,2,2000,33824.0,21688.0,3.892324163457002e-06,0.24811709,0.987252,-1.1498027,-0.42290094,1,live_animals,liberia,LBR,0.0115514509836867,0.059764259787415,53.0,58.0,66.0,59.0
434,100,2,2000,337082.0,10957379.0,3.878998384775346e-05,0.2534974,0.9853389,-1.1600667,-0.56647027,1,live_animals,libya,LBY,0.0635401820275546,0.5897511297157869,86.0,109.0,99.0,98.0
148,100,2,2001,8798.0,55538.0,1.0421152479962296e-06,0.00044042207,0.973115,-0.86534506,-0.63651854,1,live_animals,chad,TCD,0.0009993044168846,0.1290250754512032,28.0,72.0,50.0,50.0
430,100,2,2001,15191.0,0.0,1.799360392397218e-06,0.19717634,0.98503155,-1.1462055,-0.6937802,1,live_animals,liberia,LBR,0.0050379095146215,0.0171522855874417,39.0,43.0,57.0,46.333333333333336
434,100,2,2001,2481.0,8731618.0,2.938722357670659e-07,0.19358517,0.9873286,-1.2152238,-0.8024102,1,live_animals,libya,LBY,0.0004591350384435,0.0054124391307213,25.0,36.0,38.0,33.0
148,100,2,2002,8419.0,164975.0,8.611995979604398e-07,0.00058627134,0.97466326,-0.6861532,0.11758189,1,live_animals,chad,TCD,0.0009235215756754,0.1019913252950715,26.0,74.0,43.0,47.66666666666666
430,100,2,2002,32069.0,61703.0,3.280414527496537e-06,0.21729852,0.9738874,-0.9795767,0.09535344,1,live_animals,liberia,LBR,0.0103622807680799,0.0144883611670372,48.0,39.0,67.0,51.333333333333336
434,100,2,2002,0.0,4411653.0,0.0,0.21441875,0.98966485,-1.1780027,-0.67838174,1,live_animals,libya,LBY,0.0,0.0,1.0,1.0,1.0,1.0
148,100,2,2003,0.0,5658.0,0.0,0.0002808236,0.9761209,-0.66709924,-0.3547742,1,live_animals,chad,TCD,0.0,0.0,1.0,1.0,1.0,1.0
430,100,2,2003,0.0,53052.0,0.0,0.19608754,0.9863396,-1.0644555,0.014776956,1,live_animals,liberia,LBR,0.0,0.0,1.0,1.0,1.0,1.0
434,100,2,2003,9660.0,6212606.0,9.55302308469318e-07,0.2017219,0.9847824,-1.1059657,-0.22719169,1,live_animals,libya,LBY,0.0017190453496976,0.0146856331875097,32.0,41.0,47.0,40.0
148,100,2,2004,118547.0,19330.0,1.0680721424388143e-05,0.00015865076,0.9907709,-0.85929716,-1.0935677,1,live_animals,chad,TCD,0.0119502590514792,0.9209024243057252,48.0,118.0,77.0,81.0
430,100,2,2004,33749.0,131757.0,3.040681479511717e-06,0.20352621,0.9913915,-1.0981901,0.38028303,1,live_animals,liberia,LBR,0.0106905779481844,0.0338972809438453,45.0,52.0,58.0,51.66666666666666
434,100,2,2004,77122.0,2130836.0,6.94845586722281e-06,0.21353324,0.99008554,-1.2025023,-0.4390542,1,live_animals,libya,LBY,0.0134436338148128,0.1046135856292979,50.0,72.0,66.0,62.66666666666666
148,100,2,2005,11067.0,17827.0,8.921151038451436e-07,0.00012938841,0.99331826,-0.8830966,-2.1473014,1,live_animals,chad,TCD,0.0010715435145233,0.0950237648079336,28.0,62.0,42.0,44.0
430,100,2,2005,471327.0,153657.0,3.799384978314087e-05,0.16862638,0.9836373,-1.072011,-0.3792415,1,live_animals,liberia,LBR,0.1427824472169923,0.4311287283325125,95.0,96.0,97.0,96.0
434,100,2,2005,8180.0,2282504.0,6.593929293804351e-07,0.10365244,0.98401004,-1.1295236,-0.26173174,1,live_animals,libya,LBY,0.0013961908227592,0.0135721189979519,32.0,40.0,37.0,36.333333333333336
148,100,2,2006,15382.0,15063.0,1.127474340338906e-06,0.0007886093,0.99472576,-0.94541234,-3.2049026,1,live_animals,chad,TCD,0.0014367075318519,0.188105956807037,37.0,85.0,55.0,59.0
430,100,2,2006,37548.0,191931.0,2.752204299248813e-06,0.2517673,0.9874377,-1.1102006,-0.77958673,1,live_animals,liberia,LBR,0.0107563136908668,0.0431762206061256,57.0,63.0,63.0,61.0
434,100,2,2006,27221.0,5969515.0,1.995252829174708e-06,0.2458057,0.9885919,-1.1406137,-0.45099294,1,live_animals,libya,LBY,0.0045518460803473,0.0113507045690588,45.0,47.0,59.0,50.333333333333336
148,100,2,2007,1390.0,34305.0,9.216955203728922e-08,0.00065362663,0.9939262,-0.9429886,-2.5004153,1,live_animals,chad,TCD,0.0001254324713084,0.0207626944370913,27.0,53.0,38.0,39.333333333333336
430,100,2,2007,0.0,349946.0,0.0,0.26048815,0.9874447,-1.1624006,-1.0696622,1,live_animals,liberia,LBR,0.0,0.0,1.0,1.0,1.0,1.0
434,100,2,2007,551996.0,5839652.0,3.6602319457824105e-05,0.2721829,0.98465043,-1.1939443,-0.9289772,1,live_animals,libya,LBY,0.0904262185512697,0.1057513415703773,89.0,76.0,104.0,89.66666666666667
148,100,2,2008,4568.0,48679.0,2.743265291096995e-07,0.0008064078,0.99481183,-0.99185777,-2.8405638,1,live_animals,chad,TCD,0.0003980378338097,0.0696229892881806,29.0,67.0,43.0,46.333333333333336
430,100,2,2008,0.0,37552.0,0.0,0.27673322,0.9766658,-1.0542259,-0.4608972,1,live_animals,liberia,LBR,0.0,0.0,1.0,1.0,1.0,1.0
434,100,2,2008,508653.0,23753159.0,3.05466313509711e-05,0.28844747,0.9871593,-1.1786218,-1.3450539,1,live_animals,libya,LBY,0.0815746468166589,0.0508049574973423,89.0,54.0,98.0,80.33333333333333
148,100,2,2009,1030749.0,99575.0,6.393344439399973e-05,0.0008903931,0.9885034,-1.0470093,-1.2519035,1,live_animals,chad,TCD,0.0866630502026525,13.314487796435094,86.0,164.0,110.0,120.0
430,100,2,2009,3600.0,6800.0,2.232943226900041e-07,0.20602477,0.9809334,-1.0896403,-0.17167719,1,live_animals,liberia,LBR,0.0009130039147578,0.0039130399949011,30.0,39.0,44.0,37.66666666666666
434,100,2,2009,0.0,13381240.0,0.0,0.22424208,0.98761606,-1.213236,-1.1495569,1,live_animals,libya,LBY,0.0,0.0,1.0,1.0,1.0,1.0
148,100,2,2010,190518.0,98826.0,1.1117557877576648e-05,0.00049845054,0.9854353,-0.8225976,-0.052890144,1,live_animals,chad,TCD,0.0154734488926971,0.6956669279421349,50.0,116.0,79.0,81.66666666666667
430,100,2,2010,0.0,77224.0,0.0,0.23109879,0.9798501,-1.0791607,-0.5852627,1,live_animals,liberia,LBR,0.0,0.0,1.0,1.0,1.0,1.0
434,100,2,2010,30004.0,24537245.0,1.7508645196716831e-06,0.22291611,0.991735,-1.1685385,-0.8233252,1,live_animals,libya,LBY,0.0046175351528408,0.0047413789296713,38.0,41.0,60.0,46.333333333333336
148,100,2,2011,1187648.0,2321.0,6.066334297903632e-05,0.0008525331,0.9915418,-0.7917381,-2.1668222,1,live_animals,chad,TCD,0.0931123699989894,18.38091060727688,84.0,165.0,111.0,120.0
430,100,2,2011,0.0,56709.0,0.0,0.28947735,0.97235775,-0.9610486,-0.36443457,1,live_animals,liberia,LBR,0.0,0.0,1.0,1.0,1.0,1.0
434,100,2,2011,127266.0,27063166.0,6.500563304590279e-06,0.2784002,0.99204534,-1.1351538,-1.042435,1,live_animals,libya,LBY,0.0200633654637885,0.1577352693489974,54.0,78.0,70.0,67.33333333333333
148,100,2,2012,5405.0,166626.0,2.668051095953261e-07,0.0007087421,0.9922976,-0.9798806,-2.0954573,1,live_animals,chad,TCD,0.000409128818277,0.0762432905358073,31.0,70.0,50.0,50.333333333333336
430,100,2,2012,0.0,9874.0,0.0,0.24258773,0.9747173,-1.1275244,-0.79114926,1,live_animals,liberia,LBR,0.0,0.0,1.0,1.0,1.0,1.0
434,100,2,2012,0.0,179394374.0,0.0,0.22499968,0.9973299,-1.2010316,-3.0327754,1,live_animals,libya,LBY,0.0,0.0,1.0,1.0,1.0,1.0
148,100,2,2013,246062.0,148348.0,1.1799337290769164e-05,0.00053972757,0.99024063,-0.94789016,-2.777321,1,live_animals,chad,TCD,0.0179724329981588,3.2148402857081684,60.0,152.0,87.0,99.66666666666669
430,100,2,2013,82465.0,1332.0,3.954419413331921e-06,0.29834303,0.97255117,-1.032491,-0.5918825,1,live_animals,liberia,LBR,0.0184475595152742,0.1547314289591739,62.0,80.0,76.0,72.66666666666667
434,100,2,2013,16031.0,285034005.0,7.687297352225068e-07,0.29326466,0.98986703,-1.2105472,-1.5296261,1,live_animals,libya,LBY,0.0025427352731993,0.0356373080495975,37.0,58.0,55.0,50.0
148,100,2,2014,10593.0,100084.0,4.729644924024128e-07,0.000563389,0.9899082,-0.97061855,-2.2484052,1,live_animals,chad,TCD,0.0007465811825456,0.1440640079471334,30.0,81.0,49.0,53.333333333333336
430,100,2,2014,0.0,128736.0,0.0,0.23387969,0.98535824,-1.125022,-1.069335,1,live_animals,liberia,LBR,0.0,0.0,1.0,1.0,1.0,1.0
434,100,2,2014,0.0,293413386.0,0.0,0.24131584,0.98641294,-1.2032572,-1.4993415,1,live_animals,libya,LBY,0.0,0.0,1.0,1.0,1.0,1.0
148,100,2,2015,35197.0,146361.0,1.8434997558957688e-06,0.00040223124,0.9895172,-0.9942202,-1.4832824,1,live_animals,chad,TCD,0.0024029158045528,0.3349434691171448,34.0,98.0,55.0,62.333333333333336
430,100,2,2015,0.0,172315.0,0.0,0.18667094,0.9850871,-1.2315745,-1.1836939,1,live_animals,liberia,LBR,0.0,0.0,1.0,1.0,1.0,1.0
434,100,2,2015,5261.0,251202369.0,2.755533771562247e-07,0.202655,0.97874933,-1.2635349,-1.2514746,1,live_animals,libya,LBY,0.0008054417919418,0.0085867346274897,30.0,43.0,45.0,39.333333333333336
148,100,2,2016,17259.0,112452.0,9.061699272806672e-07,0.0006216888,0.9889328,-1.0452667,-2.678823,1,live_animals,chad,TCD,0.0011418719117307,0.2132872837807327,33.0,79.0,51.0,54.333333333333336
430,100,2,2016,2930.0,660303.0,1.5383729572584478e-07,0.23638357,0.96674013,-1.1267331,-0.86493593,1,live_animals,liberia,LBR,0.0006161147007911,0.0060213264258288,31.0,37.0,39.0,35.666666666666664
434,100,2,2016,36630.0,329726151.0,1.923228717555527e-06,0.21364574,0.9814486,-1.2503208,-0.9812056,1,live_animals,libya,LBY,0.0055231158153509,0.0295720577182387,39.0,47.0,55.0,47.0
148,100,2,2017,10568.0,258498.0,5.230054422438373e-07,0.0006916057,0.9878686,-1.0160797,-2.2419193,1,live_animals,chad,TCD,0.0006764490190241,0.1800853205609721,30.0,73.0,48.0,50.333333333333336
430,100,2,2017,0.0,10122.0,0.0,0.18017478,0.9741433,-1.0851942,-0.6334565,1,live_animals,liberia,LBR,0.0,0.0,1.0,1.0,1.0,1.0
434,100,2,2017,12491.0,335125179.0,6.18173824665762e-07,0.18176264,0.9818514,-1.2281777,-1.0900016,1,live_animals,libya,LBY,0.001853602363636,0.0038076669399732,34.0,39.0,50.0,41.0
148,100,2,2018,15477.0,2429887.0,7.19970864577991e-07,0.0005707418,0.98712707,-1.0194199,-1.8832988,1,live_animals,chad,TCD,0.0009579407856797,0.2431823717481938,28.0,82.0,47.0,52.333333333333336
430,100,2,2018,0.0,1118925.0,0.0,0.19038248,0.96737367,-1.134527,-0.9792584,1,live_animals,liberia,LBR,0.0,0.0,1.0,1.0,1.0,1.0
434,100,2,2018,12417.0,317850045.0,5.776234558031217e-07,0.16712792,0.9875877,-1.2533875,-1.5858748,1,live_animals,libya,LBY,0.0018129508377433,0.0031261150451932,31.0,31.0,45.0,35.666666666666664
148,100,2,2019,96699.0,192715.0,4.534021824487209e-06,0.00079622463,0.98805237,-1.004827,-1.4319503,1,live_animals,chad,TCD,0.005795487420216,1.695690970754753,45.0,132.0,72.0,83.0
430,100,2,2019,0.0,1825752.0,0.0,0.21268135,0.97958654,-1.1848466,-1.336086,1,live_animals,liberia,LBR,0.0,0.0,1.0,1.0,1.0,1.0
434,100,2,2019,24521.0,252501934.0,1.1497404229438862e-06,0.19122969,0.99195415,-1.2290533,-1.5598702,1,live_animals,libya,LBY,0.0035276771092872,0.0088978151202422,39.0,42.0,54.0,45.0
148,100,2,2020,4471944.0,64475.0,0.0002132778790677,0.0008697323,0.98870414,-1.0095775,-1.7489085,1,live_animals,chad,TCD,0.259624228701156,53.782871094665005,95.0,169.0,120.0,128.0
430,100,2,2020,0.0,2005692.0,0.0,0.21597266,0.9843864,-1.2457088,-1.7559253,1,live_animals,liberia,LBR,0.0,0.0,1.0,1.0,1.0,1.0
434,100,2,2020,0.0,179428628.0,0.0,0.19871192,0.98466486,-1.1981568,-0.88091856,1,live_animals,libya,LBY,0.0,0.0,1.0,1.0,1.0,1.0
148,100,2,2021,7245.0,295548.0,3.257260175835425e-07,0.00074345636,0.98973244,-1.0100807,-1.9335301,1,live_animals,chad,TCD,0.0004063769945636,0.0644933093064647,27.0,63.0,41.0,43.66666666666666
430,100,2,2021,0.0,6622.0,0.0,0.1700991,0.9823062,-1.1585369,-1.3967291,1,live_animals,liberia,LBR,0.0,0.0,1.0,1.0,1.0,1.0
434,100,2,2021,0.0,92588728.0,0.0,0.14665167,0.9901361,-1.1985272,-1.3216783,1,live_animals,libya,LBY,0.0,0.0,1.0,1.0,1.0,1.0
148,100,2,2022,0.0,105389.0,0.0,0.00074379635,0.9927306,-1.0118309,-2.864059,1,live_animals,chad,TCD,0.0,0.0,1.0,1.0,1.0,1.0
430,100,2,2022,0.0,17731.0,0.0,0.17763443,0.97872645,-1.101402,-1.2468065,1,live_animals,liberia,LBR,0.0,0.0,1.0,1.0,1.0,1.0
434,100,2,2022,0.0,62712161.0,0.0,0.1602054,0.9873302,-1.1890683,-1.3602171,1,live_animals,libya,LBY,0.0,0.0,1.0,1.0,1.0,1.0
